Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Anual
Aguascalientes,13.3,15.8,17.8,19.5,21.4,24.3,22.4,21.3,21.1,18.3,16.2,12.5,18.7
Baja California,12.8,12.4,14.4,16.9,19.6,21.8,27.1,26.9,24.3,22.0,17.4,14.8,19.2
Baja California Sur,17.9,17.7,20.2,21.9,23.1,26.1,29.6,29.9,29.2,26.3,23.2,19.9,23.8
Campeche,25.3,26.0,28.1,29.6,30.3,31.3,30.4,29.7,29.3,28.6,26.5,24.7,28.3
Coahuila,16.0,16.8,21.2,23.1,26.3,30.4,29.7,30.5,29.3,23.2,16.9,14.6,23.2
Colima,24.8,25.5,25.2,25.0,28.2,29.0,29.1,28.9,29.3,27.9,28.0,25.7,27.2
Chiapas,22.7,23.1,25.2,25.4,26.1,28.2,26.8,27.0,26.5,26.1,24.9,23.2,25.4
Chihuahua,11.3,12.3,16.0,18.5,22.1,26.5,27.7,26.6,25.1,20.0,14.3,10.5,19.2
Ciudad de México,15.4,16.5,18.8,19.7,19.9,22.2,19.5,19.3,19.5,18.5,17.3,14.9,18.5
Durango,13.0,14.5,18.1,20.4,21.6,25.4,24.5,24.3,23.9,19.5,15.9,12.8,19.5
Guanajuato,15.5,17.2,20.1,21.6,22.6,24.9,22.3,21.4,21.7,20.0,17.8,14.4,20.0
Guerrero,23.9,25.1,25.9,26.8,28.0,28.4,27.0,26.4,26.5,25.7,25.7,23.9,26.1
Hidalgo,16.0,17.0,20.0,21.4,21.6,24.0,22.3,22.2,22.5,20.6,17.4,14.7,20.0
Jalisco,17.4,19.4,21.1,21.9,24.4,26.5,24.3,23.5,23.7,21.8,20.5,17.1,21.8
Estado de México,12.2,13.4,15.7,16.5,17.6,18.4,16.9,16.5,16.6,15.8,14.5,12.1,15.5
Michoacán,17.5,19.1,21.0,22.3,24.2,25.4,22.9,22.3,21.9,20.9,20.1,17.6,21.3
Morelos,19.7,21.5,23.5,25.0,25.8,26.7,24.1,23.8,23.7,23.1,22.1,19.8,23.2
Nayarit,20.8,22.2,22.3,23.8,27.1,29.7,29.3,28.7,28.9,27.1,26.2,22.4,25.7
Nuevo León,17.6,18.4,22.3,23.6,25.1,29.7,30.1,30.1,29.2,24.1,18.1,15.6,23.7
Oaxaca,21.2,22.9,24.8,26.6,26.9,26.5,25.6,25.5,26.3,25.2,22.9,20.3,24.6
Puebla,16.1,17.0,19.6,20.7,21.2,22.1,20.3,20.1,20.1,19.4,17.7,15.4,19.1
Querétaro,16.3,17.6,21.3,22.8,23.8,25.4,23.5,22.1,22.5,20.2,18.2,14.0,20.6
Quintana Roo,25.2,25.7,26.9,27.6,28.9,29.7,30.0,29.8,29.4,28.7,26.8,24.9,27.8
San Luis Potosí,19.1,19.9,23.7,24.6,25.9,29.0,27.9,27.8,28.2,24.0,20.3,17.4,24.0
Sinaloa,19.8,19.9,21.8,24.1,26.9,30.1,31.5,30.9,31.8,28.3,25.3,22.2,26.1
Sonora,13.7,14.2,17.5,20.5,23.5,28.1,32.8,31.7,30.2,26.3,20.9,16.4,23.0
Tabasco,25.4,25.7,28.3,28.8,30.1,31.3,29.5,29.3,29.3,28.6,25.8,24.7,28.1
Tamaulipas,20.7,20.6,24.7,24.7,27.4,30.9,31.3,31.1,31.0,26.4,20.6,18.5,25.7
Tlaxcala,12.6,14.2,16.3,16.6,17.8,18.7,17.5,17.2,17.3,16.7,15.3,12.6,16.1
Veracruz,20.2,20.3,23.6,24.9,26.2,27.5,25.9,25.7,25.6,23.8,20.6,19.2,23.6
Yucatán,24.6,25.4,27.4,28.8,29.7,30.6,30.4,29.8,29.4,28.4,26.3,24.0,27.9
Zacatecas,13.6,15.7,18.2,19.7,21.4,25.0,23.1,22.4,22.2,19.3,16.4,12.6,19.1
Nacional,17.1,18.0,20.9,22.5,24.6,27.4,27.6,27.2,26.4,23.6,19.9,17.0,22.7